#chrom	chromStart	chromEnd	clusterId	transcript	protein
chr1	1260142	1264276	57	uc001aeo.3	uc001aeo.3
chr1	1266725	1269844	58	uc010nyk.2	uc010nyk.2
chr1	1270657	1284492	59	uc001aer.4	uc001aer.4
chr1	1288070	1293915	60	uc001aew.3	uc001aew.3
chr1	1309109	1310562	61	uc009vkb.1	uc009vkb.1
chr1	1321090	1334718	62	uc001afi.2	uc001afi.2
chr1	1334909	1337426	63	uc001afm.3	uc001afm.3
chr1	1337275	1342693	64	uc001afo.4	uc001afo.4
chr1	1353799	1356824	65	uc010nyo.2	uc010nyo.2
chr1	1361507	1363167	66	uc010nyp.2	uc010nyp.2
chr1	1370902	1378262	67	uc001afs.3	uc001afs.3
chr1	1385068	1405538	68	uc001aft.2	uc001aft.2
chr1	1407163	1431582	69	uc001afv.3	uc001afv.3
chr1	1447522	1470067	70	uc001aga.2	uc001aga.2
chr1	1470157	1475740	71	uc009vkf.3	uc009vkf.3
chr1	1477052	1510262	72	uc001agd.3	uc001agd.3
chr1	1510354	1510644	73	uc021oer.1	uc021oer.1
chr1	1533387	1535476	74	uc021oes.1	uc021oes.1
chr1	1535818	1543166	75	uc001agf.1	uc001agf.1
chr1	1550794	1565990	76	uc001agg.3	uc001agg.3
chr1	1567559	1570030	77	uc001agp.3	uc001agp.3
chr1	1571099	1655775	78	uc001agv.1	uc001agv.1
chr1	1586822	1590469	79	uc001ahc.1	uc001ahc.1
chr1	1592938	1624243	80	uc001ahg.4	uc001ahg.4
chr1	1631377	1633247	81	uc001ahi.1	uc001ahi.1
chr1	1656053	1663343	82	uc001ahx.1	uc001ahx.1
chr1	1658823	1677438	83	uc001aia.2	uc001aia.2
chr1	1682670	1711508	84	uc001aie.3	uc001aie.3
chr1	1716724	1822526	85	uc001aif.3	uc001aif.3
chr1	1846265	1848733	86	uc001aih.1	uc001aih.1
chr1	1849028	1850740	87	uc001aij.2	uc001aij.2
chr1	1853395	1858842	88	uc001aik.3	uc001aik.3
chr1	1884751	1935276	89	uc001aim.1	uc001aim.1
chr1	1944651	1946969	90	uc001aio.1	uc001aio.1
chr1	1950767	1962192	91	uc001aip.2	uc001aip.2
chr1	1981908	2116834	92	uc001aiq.3	uc001aiq.3
chr1	2112574	2114663	93	uc001aiu.1	uc001aiu.1
chr1	2115898	2139172	94	uc001aix.2	uc001aix.2
chr1	2120987	2126214	95	uc001aiy.3	uc001aiy.3
chr1	2121236	2123179	96	uc001aiz.1	uc001aiz.1
chr1	2160133	2241652	97	uc001aja.4	uc001aja.4
chr1	2252695	2322993	98	uc001ajb.1	uc001ajb.1
chr1	2281852	2284100	99	uc001ajc.3	uc001ajc.3
chr1	2309493	2322993	100	uc010nyy.2	uc010nyy.2
chr1	2323213	2336885	101	uc001aje.2	uc001aje.2
chr1	2336240	2344010	102	uc001ajh.3	uc001ajh.3
chr1	2407753	2436964	103	uc001aji.1	uc001aji.1
chr1	2439974	2458035	104	uc001ajm.1	uc001ajm.1
chr1	2460183	2461684	105	uc001ajn.3	uc001ajn.3
chr1	2481358	2484284	106	uc001ajo.2	uc001ajo.2
chr1	2486162	2488450	107	uc021oev.1	uc021oev.1
chr1	2487804	2495188	108	uc001ajt.1	uc001ajt.1
chr1	2487804	2495267	109	uc001ajr.3	uc001ajr.3
chr1	2518188	2522908	110	uc001aju.2	uc001aju.2
chr1	2522080	2564481	111	uc001ajy.2	uc001ajy.2
chr1	2572806	2706230	112	uc021oey.1	uc021oey.1
chr1	2938045	2939467	113	uc001ajz.3	uc001ajz.3
chr1	2976180	2980350	114	uc001aka.3	uc001aka.3
chr1	2980635	2984289	115	uc010nzg.1	uc010nzg.1
chr1	2985741	3355185	116	uc001akf.3	uc001akf.3
chr1	3044538	3044599	117	uc021oez.1	uc021oez.1
chr1	3371146	3397677	118	uc001akg.4	uc001akg.4
chr1	3404505	3528059	119	uc001akl.3	uc001akl.3
chr1	3477259	3477354	120	uc021ofa.1	uc021ofa.1
chr1	3541555	3546694	121	uc001akm.3	uc001akm.3
chr1	3547330	3566671	122	uc001ako.3	uc001ako.3
chr1	3569128	3652765	123	uc001akp.3	uc001akp.3
chr1	3652547	3663937	124	uc009vlm.3	uc009vlm.3
chr1	3668964	3688209	125	uc001akv.2	uc001akv.2
chr1	3689351	3692546	126	uc001akw.4	uc001akw.4
chr1	3696783	3713068	127	uc001akx.1	uc001akx.1
chr1	3728644	3773797	128	uc001aky.2	uc001aky.2
chr1	3773844	3801993	129	uc001alc.3	uc001alc.3
chr1	3805696	3816857	130	uc001alf.3	uc001alf.3
chr1	3816967	3832011	131	uc001alg.3	uc001alg.3
chr1	4000671	4012643	132	uc001ali.2	uc001ali.2
chr1	4472110	4484744	133	uc001alj.2	uc001alj.2
chr1	4715104	4843851	134	uc001aln.3	uc001aln.3
chr1	4847557	4852183	135	uc001alo.4	uc001alo.4
chr1	5621768	5728315	136	uc001alp.1	uc001alp.1
chr1	5624130	5624203	137	uc021ofm.1	uc021ofm.1
chr1	5922731	5922801	138	uc021ofn.1	uc021ofn.1
chr1	5922869	6052533	139	uc001alq.2	uc001alq.2
chr1	6105980	6161253	140	uc001aly.2	uc001aly.2
chr1	6161846	6240194	141	uc001amb.2	uc001amb.2
chr1	6245079	6259679	142	uc001amd.3	uc001amd.3
chr1	6266188	6281359	143	uc001amg.3	uc001amg.3
chr1	6281252	6296044	144	uc001amk.3	uc001amk.3
chr1	6297870	6299502	145	uc001amm.3	uc001amm.3
chr1	6304251	6305638	146	uc009vly.2	uc009vly.2
chr1	6307405	6321035	147	uc001amp.2	uc001amp.2
chr1	6324331	6445883	148	uc001ams.3	uc001ams.3
chr1	6475293	6479979	149	uc001amx.3	uc001amx.3
chr1	6484847	6521004	150	uc001amy.3	uc001amy.3
chr1	6489893	6489956	151	uc021ofo.1	uc021ofo.1
chr1	6521213	6526255	152	uc001ane.3	uc001ane.3
chr1	6526151	6557484	153	uc001ano.1	uc001ano.1
chr1	6581406	6614658	154	uc001ans.3	uc001ans.3
chr1	6615337	6639817	155	uc001ant.3	uc001ant.3
chr1	6640062	6649340	156	uc001anx.3	uc001anx.3
chr1	6650783	6662929	157	uc001aoa.3	uc001aoa.3
chr1	6673755	6684093	158	uc001aob.4	uc001aob.4
chr1	6685209	6693642	159	uc001aod.3	uc001aod.3
chr1	6694227	6761966	160	uc001aof.2	uc001aof.2
chr1	6845383	7829766	161	uc001aoi.3	uc001aoi.3
chr1	7831328	7841492	162	uc001aol.3	uc001aol.3
chr1	7844713	7905237	163	uc001aoo.3	uc001aoo.3
chr1	7907671	7913565	164	uc001aos.3	uc001aos.3
chr1	7975930	8003225	165	uc001aot.3	uc001aot.3
chr1	7990338	7990408	166	uc021ofs.1	uc021ofs.1
chr1	8021713	8045342	167	uc001aox.4	uc001aox.4
chr1	8071778	8086393	168	uc001aoz.3	uc001aoz.3
chr1	8384389	8404227	169	uc001apb.3	uc001apb.3
chr1	8412463	8877699	170	uc001apf.3	uc001apf.3
chr1	8440651	8441235	171	uc001apg.1	uc001apg.1
chr1	8921058	8939151	172	uc001apj.2	uc001apj.2
chr1	8931005	8939151	173	uc009vmm.2	uc009vmm.2
chr1	8938893	8939943	174	uc021oft.1	uc021oft.1
chr1	9005921	9035148	175	uc001apm.3	uc001apm.3
chr1	9063358	9086404	176	uc009vmo.1	uc009vmo.1
chr1	9097004	9129887	177	uc001apo.3	uc001apo.3
chr1	9164475	9189229	178	uc001apq.1	uc001apq.1
chr1	9186983	9189250	179	uc001aps.3	uc001aps.3
chr1	9208345	9242451	180	uc009vmq.3	uc009vmq.3
chr1	9294862	9331394	181	uc001apt.3	uc001apt.3
chr1	9352940	9429590	182	uc010oae.2	uc010oae.2
chr1	9497727	9497837	183	uc021ofx.1	uc021ofx.1
chr1	9599527	9642831	184	uc001apw.3	uc001apw.3
chr1	9648931	9674935	185	uc021ofy.1	uc021ofy.1
chr1	9711789	9789172	186	uc001aqb.4	uc001aqb.4
chr1	9712667	9714644	187	uc001aqc.4	uc001aqc.4
chr1	9740902	9747627	188	uc021oga.1	uc021oga.1
chr1	9789078	9884550	189	uc001aqh.3	uc001aqh.3
chr1	9908333	9970316	190	uc001aql.1	uc001aql.1
chr1	9989775	10002840	191	uc001aqm.3	uc001aqm.3
chr1	10003485	10045556	192	uc001aqp.3	uc001aqp.3
chr1	10057254	10076078	193	uc001aqq.3	uc001aqq.3
chr1	10093040	10241296	194	uc001aqs.4	uc001aqs.4
chr1	10270763	10441661	195	uc001aqw.4	uc001aqw.4
chr1	10459084	10480201	196	uc001arc.3	uc001arc.3
chr1	10490158	10512060	197	uc021ogd.1	uc021ogd.1
chr1	10520602	10532613	198	uc001arj.3	uc001arj.3
chr1	10535002	10690815	199	uc001arn.3	uc001arn.3
chr1	10696665	10856707	200	uc001aro.3	uc001aro.3
chr1	10744633	10744736	201	uc021ogh.1	uc021ogh.1
chr1	11006529	11042094	202	uc010oao.2	uc010oao.2
chr1	11072678	11085549	203	uc001art.3	uc001art.3
chr1	11086579	11107296	204	uc001aru.3	uc001aru.3
chr1	11114648	11120091	205	uc001arz.1	uc001arz.1
chr1	11126675	11159938	206	uc001asa.3	uc001asa.3
chr1	11166587	11322608	207	uc001asd.3	uc001asd.3
chr1	11249397	11256038	208	uc001ase.3	uc001ase.3
chr1	11333254	11348491	209	uc001asg.3	uc001asg.3
chr1	11539294	11597640	210	uc001ash.4	uc001ash.4
chr1	11708417	11714888	211	uc001asj.3	uc001asj.3
chr1	11714913	11723384	212	uc001asm.3	uc001asm.3
chr1	11724149	11734409	213	uc001aso.3	uc001aso.3
chr1	11734536	11751678	214	uc009vnc.3	uc009vnc.3
chr1	11751780	11780336	215	uc001asr.1	uc001asr.1
chr1	11782186	11785914	216	uc001ass.1	uc001ass.1
chr1	11796141	11810828	217	uc001asv.3	uc001asv.3
chr1	11824461	11826573	218	uc001asy.1	uc001asy.1
chr1	11832138	11849642	219	uc001asz.3	uc001asz.3
chr1	11845786	11866160	220	uc001atc.2	uc001atc.2
chr1	11866206	11903201	221	uc001ate.4	uc001ate.4
chr1	11905766	11907840	222	uc001ati.3	uc001ati.3
chr1	11917520	11918992	223	uc001atj.3	uc001atj.3
chr1	11979644	11986485	224	uc001atk.3	uc001atk.3
chr1	11994723	12035599	225	uc001atm.3	uc001atm.3
chr1	12040237	12073572	226	uc009vni.3	uc009vni.3
chr1	12079298	12092106	227	uc001ato.2	uc001ato.2
chr1	12123433	12204264	228	uc001atq.3	uc001atq.3
chr1	12227059	12269277	229	uc001att.3	uc001att.3
chr1	12251761	12251839	230	uc021ogi.1	uc021ogi.1
chr1	12290112	12572098	231	uc001atv.3	uc001atv.3
chr1	12567299	12567451	232	uc001atz.1	uc001atz.1
chr1	12627938	12677820	233	uc001auc.3	uc001auc.3
chr1	12704565	12727097	234	uc001auf.3	uc001auf.3
chr1	12776117	12788726	235	uc009vnn.1	uc009vnn.1
chr1	12806162	12821102	236	uc001auh.3	uc001auh.3
chr1	12834983	12838048	237	uc001aui.3	uc001aui.3
chr1	12851545	12856777	238	uc001auj.2	uc001auj.2
chr1	12884467	12891264	239	uc001auk.2	uc001auk.2
chr1	12907235	12908237	240	uc009vno.2	uc009vno.2
chr1	12916940	12921764	241	uc001aum.1	uc001aum.1
chr1	12939032	12946025	242	uc001aun.2	uc001aun.2
chr1	12952726	12958094	243	uc001auo.3	uc001auo.3
chr1	12976449	12980568	244	uc001aup.3	uc001aup.3
chr1	12998301	13007406	245	uc001auq.2	uc001auq.2
chr1	13035542	13038381	246	uc009vnq.1	uc009vnq.1
chr1	13182959	13184326	247	uc010obg.2	uc010obg.2
chr1	13328195	13331692	248	uc001aut.1	uc001aut.1
chr1	13359818	13369057	249	uc001auu.1	uc001auu.1
chr1	13386646	13390765	250	uc001auv.3	uc001auv.3
chr1	13421175	13428191	251	uc001auw.1	uc001auw.1
chr1	13447413	13452656	252	uc010obi.1	uc010obi.1
chr1	13474052	13477569	253	uc009vnu.1	uc009vnu.1
chr1	13495253	13498259	254	uc001aux.3	uc001aux.3
chr1	13516065	13526943	255	uc009vnv.1	uc009vnv.1
chr1	13607430	13611550	256	uc001auy.2	uc001auy.2
chr1	13629937	13635299	257	uc001auz.4	uc001auz.4
chr1	13641972	13648988	258	uc001ava.1	uc001ava.1
chr1	13668268	13673511	259	uc009vnw.1	uc009vnw.1
chr1	13694888	13698405	260	uc009vny.1	uc009vny.1
chr1	13716087	13719064	261	uc009vnz.1	uc009vnz.1
chr1	13736906	13747803	262	uc009voa.1	uc009voa.1
chr1	13801444	13840242	263	uc001avb.3	uc001avb.3
chr1	13910251	13944452	264	uc001avd.3	uc001avd.3
chr1	14031349	14151574	265	uc001avi.3	uc001avi.3
chr1	14925212	15444544	266	uc001avm.4	uc001avm.4
chr1	15438310	15478960	267	uc009voh.3	uc009voh.3
chr1	15480228	15546974	268	uc001avx.3	uc001avx.3
chr1	15573767	15724622	269	uc001awb.2	uc001awb.2
chr1	15653175	15670372	270	uc001awc.1	uc001awc.1
chr1	15736390	15756839	271	uc001awh.2	uc001awh.2
chr1	15764937	15773153	272	uc001awi.1	uc001awi.1
chr1	15783222	15798586	273	uc001awk.3	uc001awk.3
chr1	15802595	15817895	274	uc001awl.3	uc001awl.3
chr1	15818768	15850940	275	uc001awn.3	uc001awn.3
chr1	15853351	15898228	276	uc001aws.3	uc001aws.3
chr1	15898193	15911605	277	uc001awv.2	uc001awv.2
chr1	15943952	15987552	278	uc001awx.2	uc001awx.2
chr1	15986363	15988217	279	uc010obn.2	uc010obn.2
chr1	15992765	15995537	280	uc001awz.3	uc001awz.3
chr1	16010826	16061264	281	uc010obo.2	uc010obo.2
chr1	16062808	16067884	282	uc001axb.1	uc001axb.1
chr1	16068916	16074477	283	uc001axc.3	uc001axc.3
chr1	16085254	16113084	284	uc001axe.1	uc001axe.1
chr1	16133656	16134194	285	uc009vol.1	uc009vol.1
chr1	16160709	16174642	286	uc001axj.2	uc001axj.2
chr1	16174358	16266950	287	uc001axk.1	uc001axk.1
chr1	16268363	16302627	288	uc001axl.4	uc001axl.4
chr1	16317618	16317647	289	uc001axm.1	uc001axm.1
chr1	16330730	16333184	290	uc001axn.3	uc001axn.3
chr1	16340522	16345285	291	uc001axo.2	uc001axo.2
chr1	16348485	16360545	292	uc001axu.3	uc001axu.3
chr1	16384263	16400127	293	uc001axz.4	uc001axz.4
chr1	16450831	16482582	294	uc001aya.2	uc001aya.2
chr1	16524598	16539104	295	uc001ayc.1	uc001ayc.1
chr1	16558181	16563659	296	uc001ayd.3	uc001ayd.3
chr1	16576558	16678948	297	uc001ayg.3	uc001ayg.3
chr1	16693582	16724640	298	uc001aym.4	uc001aym.4
chr1	16725137	16763919	299	uc001ayn.3	uc001ayn.3
chr1	16767166	16786584	300	uc001ayq.3	uc001ayq.3
chr1	16793930	16819196	301	uc001ayt.2	uc001ayt.2
chr1	16847079	16847153	302	uc021ogp.1	uc021ogp.1
chr1	16858892	16858966	303	uc021ogq.1	uc021ogq.1
chr1	16860349	16862144	304	uc021ogr.1	uc021ogr.1
chr1	16862254	16864669	305	uc001ayv.1	uc001ayv.1
chr1	16872433	16872504	306	uc021ogs.1	uc021ogs.1
chr1	16874159	16874232	307	uc021ogt.1	uc021ogt.1
chr1	16875408	16875482	308	uc021ogu.1	uc021ogu.1
chr1	16888921	16890082	309	uc001ayw.3	uc001ayw.3
chr1	16890411	16939982	310	uc009vos.1	uc009vos.1
chr1	16944756	16959841	311	uc001azf.3	uc001azf.3
chr1	16972068	16976915	312	uc010och.2	uc010och.2
chr1	17004765	17004836	313	uc021ogw.1	uc021ogw.1
chr1	17006500	17006573	314	uc021ogx.1	uc021ogx.1
chr1	17007749	17007823	315	uc021ogy.1	uc021ogy.1
chr1	17017712	17046652	316	uc001azn.1	uc001azn.1
chr1	17052060	17052133	317	uc021ogz.1	uc021ogz.1
chr1	17053779	17053850	318	uc021oha.1	uc021oha.1
chr1	17248444	17299474	319	uc001azt.2	uc001azt.2
chr1	17081400	17090975	320	uc010ock.2	uc010ock.2
chr1	17180899	17180971	321	uc021ohb.1	uc021ohb.1
chr1	17185443	17185516	322	uc021ohc.1	uc021ohc.1
chr1	17186692	17186765	323	uc021ohd.1	uc021ohd.1
chr1	17188415	17188486	324	uc021ohe.1	uc021ohe.1
chr1	17199077	17199149	325	uc021ohf.1	uc021ohf.1
chr1	17201957	17202031	326	uc021ohg.1	uc021ohg.1
chr1	17215040	17216161	327	uc001azs.1	uc001azs.1
chr1	17216171	17216245	328	uc021ohh.1	uc021ohh.1
chr1	17222645	17222720	329	uc021ohi.1	uc021ohi.1
chr1	17300998	17307173	330	uc001azw.3	uc001azw.3
chr1	17312452	17338423	331	uc001baa.2	uc001baa.2
chr1	17345224	17380665	332	uc001bae.3	uc001bae.3
chr1	17393255	17445948	333	uc001baf.3	uc001baf.3
chr1	17484691	17484779	334	uc021ohj.1	uc021ohj.1
chr1	17531620	17572501	335	uc001bah.1	uc001bah.1
chr1	17566189	17572501	336	uc009vpb.1	uc009vpb.1
chr1	17575592	17610727	337	uc001bai.3	uc001bai.3
chr1	17581660	17581778	338	uc021ohk.1	uc021ohk.1
chr1	17634689	17690495	339	uc001baj.2	uc001baj.2
chr1	17698740	17728195	340	uc001bak.1	uc001bak.1
chr1	17733250	17765059	341	uc001bal.3	uc001bal.3
chr1	17866329	18024370	342	uc001ban.3	uc001ban.3
chr1	18081807	18153558	343	uc001bat.3	uc001bat.3
chr1	18434239	18704977	344	uc001bau.2	uc001bau.2
chr1	18701063	18702174	345	uc001baw.1	uc001baw.1
chr1	18807423	18812480	346	uc001bax.3	uc001bax.3
chr1	18957499	19062632	347	uc001bay.3	uc001bay.3
chr1	19166092	19186155	348	uc001bba.1	uc001bba.1
chr1	19197923	19229293	349	uc001bbc.3	uc001bbc.3
chr1	19209687	19209774	350	uc021ohm.1	uc021ohm.1
chr1	19230773	19282826	351	uc001bbd.2	uc001bbd.2
chr1	19400999	19536746	352	uc001bbi.3	uc001bbi.3
chr1	19544583	19578046	353	uc001bbo.3	uc001bbo.3
chr1	19578074	19586622	354	uc001bbs.3	uc001bbs.3
chr1	19592475	19600568	355	uc021ohn.1	uc021ohn.1
chr1	19609056	19615280	356	uc001bbv.1	uc001bbv.1
chr1	19619740	19622230	357	uc021ohp.1	uc021ohp.1
chr1	19629201	19638640	358	uc001bbw.3	uc001bbw.3
chr1	19638739	19655794	359	uc001bby.3	uc001bby.3
chr1	19665266	19812066	360	uc021ohr.1	uc021ohr.1
chr1	19673334	19675427	361	uc001bcf.1	uc001bcf.1
chr1	19750877	19751182	362	uc021ohs.1	uc021ohs.1
chr1	19969722	19984949	363	uc001bcj.2	uc001bcj.2
chr1	19923470	19956315	364	uc021ohu.1	uc021ohu.1
chr1	19934573	19935119	365	uc021ohx.1	uc021ohx.1
chr1	19991779	20006055	366	uc001bcl.3	uc001bcl.3
chr1	20008705	20126410	367	uc001bcn.3	uc001bcn.3
chr1	20140521	20141771	368	uc001bcr.3	uc001bcr.3
chr1	20208887	20239437	369	uc001bcs.4	uc001bcs.4
chr1	20246799	20250110	370	uc001bct.1	uc001bct.1
chr1	20301923	20306932	371	uc010odb.2	uc010odb.2
chr1	20396700	20418394	372	uc001bcy.3	uc001bcy.3
chr1	20438433	20446008	373	uc001bcz.3	uc001bcz.3
chr1	20465822	20476879	374	uc009vpp.1	uc009vpp.1
chr1	20490483	20501687	375	uc009vpq.1	uc009vpq.1
chr1	20512577	20519942	376	uc001bdb.3	uc001bdb.3
chr1	20617411	20681387	377	uc009vps.2	uc009vps.2
chr1	20686293	20755287	378	uc001bdf.2	uc001bdf.2
chr1	20808883	20812728	379	uc001bdh.3	uc001bdh.3
chr1	20825940	20834674	380	uc001bdi.4	uc001bdi.4
chr1	20878931	20881513	381	uc001bdj.3	uc001bdj.3
chr1	20915443	20945400	382	uc001bdk.3	uc001bdk.3
chr1	20959947	20978004	383	uc001bdm.3	uc001bdm.3
chr1	20978259	20988037	384	uc001bdo.1	uc001bdo.1
chr1	20990506	21044317	385	uc001bdr.4	uc001bdr.4
chr1	21046224	21059133	386	uc009vpy.1	uc009vpy.1
chr1	21069170	21113181	387	uc001bdw.1	uc001bdw.1
chr1	21132784	21503381	388	uc001bee.3	uc001bee.3
chr1	21543739	21616766	389	uc001bei.2	uc001bei.2
chr1	21602542	21604868	390	uc001ben.1	uc001ben.1
chr1	21619782	21626362	391	uc001beo.2	uc001beo.2
chr1	21749600	21754300	392	uc001bep.1	uc001bep.1
chr1	21761832	21762609	393	uc001beq.1	uc001beq.1
chr1	21766630	21811393	394	uc001ber.3	uc001ber.3
chr1	21835857	21904905	395	uc001bet.3	uc001bet.3
chr1	21922707	21978348	396	uc001bew.3	uc001bew.3
chr1	22004791	22109688	397	uc001bfb.3	uc001bfb.3
chr1	22138757	22151714	398	uc001bfg.1	uc001bfg.1
chr1	22148736	22263750	399	uc001bfj.3	uc001bfj.3
chr1	22303417	22315847	400	uc001bfk.3	uc001bfk.3
chr1	22351706	22357715	401	uc001bfm.4	uc001bfm.4
chr1	22379119	22419436	402	uc001bfr.3	uc001bfr.3
chr1	22443797	22469519	403	uc001bfs.4	uc001bfs.4
chr1	22778343	22857650	404	uc001bfu.2	uc001bfu.2
chr1	22890003	22930087	405	uc001bfx.1	uc001bfx.1
chr1	22963117	22966175	406	uc001bfy.3	uc001bfy.3
chr1	22970117	22974603	407	uc001bga.4	uc001bga.4
chr1	22979681	22988029	408	uc001bgd.3	uc001bgd.3
chr1	23037330	23241823	409	uc001bge.3	uc001bge.3
chr1	23046009	23046091	410	uc021oib.1	uc021oib.1
chr1	23189651	23189719	411	uc021oic.1	uc021oic.1
chr1	23243782	23247347	412	uc001bgg.1	uc001bgg.1
chr1	23337326	23342343	413	uc001bgh.1	uc001bgh.1
chr1	23345940	23410184	414	uc001bgj.2	uc001bgj.2
chr1	23370797	23370865	415	uc021oid.1	uc021oid.1
chr1	23410515	23495517	416	uc010odv.1	uc010odv.1
chr1	23490445	23490546	417	uc021oie.1	uc021oie.1
chr1	23518387	23521222	418	uc001bgn.3	uc001bgn.3
chr1	23636275	23670853	419	uc001bgp.4	uc001bgp.4
chr1	23685940	23694879	420	uc001bgt.3	uc001bgt.3
chr1	23695463	23698330	421	uc001bgw.3	uc001bgw.3
chr1	23707554	23751261	422	uc021oig.1	uc021oig.1
chr1	23755055	23810750	423	uc001bha.2	uc001bha.2
chr1	23801092	23803135	424	uc001bhd.3	uc001bhd.3
chr1	23832919	23857712	425	uc001bhe.2	uc001bhe.2
chr1	23853364	23855542	426	uc001bhf.1	uc001bhf.1
chr1	23884420	23886285	427	uc001bhh.4	uc001bhh.4
chr1	23907984	23967056	428	uc001bhi.3	uc001bhi.3
chr1	24018268	24022915	429	uc001bhk.3	uc001bhk.3
chr1	24069855	24088549	430	uc001bho.3	uc001bho.3
chr1	24086871	24104787	431	uc001bhp.2	uc001bhp.2
chr1	24104875	24114722	432	uc001bhq.3	uc001bhq.3
chr1	24117645	24122029	433	uc001bht.3	uc001bht.3
chr1	24122088	24126060	434	uc009vqo.1	uc009vqo.1
chr1	24128366	24151949	435	uc001bib.3	uc001bib.3
chr1	24171571	24194859	436	uc001bie.3	uc001bie.3
chr1	24200459	24239817	437	uc001bif.3	uc001bif.3
chr1	24255559	24255637	438	uc021oik.1	uc021oik.1
chr1	24286300	24289949	439	uc001big.3	uc001big.3
chr1	24295572	24306953	440	uc021oir.1	uc021oir.1
chr1	24320925	24320957	441	uc021oit.1	uc021oit.1
chr1	24382530	24438665	442	uc001bin.4	uc001bin.4
chr1	24446260	24469775	443	uc001biq.2	uc001biq.2
chr1	24480646	24513765	444	uc001bis.3	uc001bis.3
chr1	24526729	24538180	445	uc010oei.1	uc010oei.1
chr1	24578722	24578758	446	uc021oiu.1	uc021oiu.1
chr1	24579767	24579803	447	uc021oiv.1	uc021oiv.1
chr1	24645811	24690970	448	uc021oiw.1	uc021oiw.1
chr1	24683488	24740262	449	uc001bjc.3	uc001bjc.3
chr1	24742244	24799473	450	uc001bjh.3	uc001bjh.3
chr1	24822822	24828850	451	uc021oiz.1	uc021oiz.1
chr1	24829386	24863510	452	uc001bjj.3	uc001bjj.3
chr1	24882566	24935818	453	uc001bjk.2	uc001bjk.2
chr1	24969593	24999772	454	uc001bjm.3	uc001bjm.3
chr1	25071759	25170815	455	uc001bjo.2	uc001bjo.2
chr1	25226001	25256770	456	uc001bjq.3	uc001bjq.3
